Distance_(inches),Gray_Value
0.00000,17.000
0.01042,17.000
0.02083,17.000
0.03125,17.000
0.04167,17.000
0.05208,17.000
0.06250,17.000
0.07292,17.000
0.08333,17.000
0.09375,17.000
0.10417,17.000
0.11458,17.000
0.12500,17.000
0.13542,17.000
0.14583,17.000
0.15625,17.000
0.16667,17.000
0.17708,17.000
0.18750,17.000
0.19792,17.000
0.20833,17.000
0.21875,17.000
0.22917,17.000
0.23958,17.000
0.25000,17.000
0.26042,17.000
0.27083,17.000
0.28125,17.000
0.29167,17.000
0.30208,17.000
0.31250,17.000
0.32292,17.000
0.33333,17.000
0.34375,17.000
0.35417,17.000
0.36458,17.000
0.37500,17.000
0.38542,17.000
0.39583,17.000
0.40625,17.000
0.41667,17.000
0.42708,17.000
0.43750,17.000
0.44792,17.000
0.45833,17.000
0.46875,17.000
0.47917,17.000
0.48958,17.000
0.50000,17.000
0.51042,17.000
0.52083,17.000
0.53125,17.000
0.54167,17.000
0.55208,17.000
0.56250,17.000
0.57292,17.000
0.58333,17.000
0.59375,17.000
0.60417,17.000
0.61458,17.000
0.62500,17.000
0.63542,17.000
0.64583,17.000
0.65625,17.000
0.66667,17.000
0.67708,17.000
0.68750,17.000
0.69792,17.000
0.70833,17.000
0.71875,17.000
0.72917,17.000
0.73958,17.000
0.75000,17.000
0.76042,17.000
0.77083,17.000
0.78125,17.000
0.79167,17.000
0.80208,17.000
0.81250,17.000
0.82292,17.000
0.83333,17.000
0.84375,17.000
0.85417,17.000
0.86458,17.000
0.87500,17.000
0.88542,17.000
0.89583,17.000
0.90625,17.000
0.91667,17.000
0.92708,17.000
0.93750,17.000
0.94792,17.000
0.95833,17.000
0.96875,17.000
0.97917,17.000
0.98958,17.000
1.00000,17.000
1.01042,17.000
1.02083,17.000
1.03125,17.000
1.04167,17.000
1.05208,17.000
1.06250,17.000
1.07292,17.000
1.08333,17.000
1.09375,17.000
1.10417,17.000
1.11458,17.000
1.12500,17.000
1.13542,17.000
1.14583,17.000
1.15625,17.000
1.16667,17.000
1.17708,17.000
1.18750,17.000
1.19792,17.000
1.20833,17.000
1.21875,17.000
1.22917,17.000
1.23958,17.000
1.25000,17.000
1.26042,17.000
1.27083,17.000
1.28125,17.000
1.29167,17.000
1.30208,17.000
1.31250,17.000
1.32292,17.000
1.33333,17.000
1.34375,17.000
1.35417,17.000
1.36458,17.000
1.37500,17.000
1.38542,17.000
1.39583,17.000
1.40625,17.000
1.41667,17.000
1.42708,17.000
1.43750,17.000
1.44792,17.000
1.45833,17.000
1.46875,17.000
1.47917,17.000
1.48958,17.000
1.50000,17.000
1.51042,17.000
1.52083,17.000
1.53125,17.000
1.54167,17.000
1.55208,17.000
1.56250,17.000
1.57292,17.000
1.58333,16.333
1.59375,16.333
1.60417,16.333
1.61458,17.000
1.62500,17.000
1.63542,15.667
1.64583,17.667
1.65625,22.667
1.66667,24.667
1.67708,28.667
1.68750,30.667
1.69792,35.000
1.70833,37.000
1.71875,39.333
1.72917,35.333
1.73958,35.333
1.75000,32.333
1.76042,32.333
1.77083,45.667
1.78125,51.667
1.79167,51.667
1.80208,45.667
1.81250,39.667
1.82292,32.667
1.83333,29.667
1.84375,32.667
1.85417,39.333
1.86458,37.333
1.87500,37.333
1.88542,35.000
1.89583,33.000
1.90625,24.333
1.91667,24.333
1.92708,21.000
1.93750,21.000
1.94792,22.667
1.95833,22.667
1.96875,23.667
1.97917,23.667
1.98958,36.000
2.00000,39.000
2.01042,39.000
2.02083,38.000
2.03125,30.000
2.04167,26.333
2.05208,28.333
2.06250,30.667
2.07292,32.667
2.08333,30.000
2.09375,22.000
2.10417,17.000
2.11458,21.000
2.12500,18.667
2.13542,18.667
2.14583,18.667
2.15625,18.667
2.16667,18.667
2.17708,18.667
2.18750,18.667
2.19792,18.667
2.20833,18.667
2.21875,17.667
2.22917,17.667
2.23958,17.667
2.25000,17.667
2.26042,17.667
2.27083,17.667
2.28125,17.667
2.29167,17.667
2.30208,17.667
2.31250,17.000
2.32292,17.000
2.33333,17.000
2.34375,17.000
2.35417,17.000
2.36458,17.000
2.37500,17.000
2.38542,17.000
2.39583,17.667
2.40625,17.667
2.41667,17.667
2.42708,17.667
2.43750,17.667
2.44792,17.667
2.45833,17.667
2.46875,17.667
2.47917,17.667
2.48958,17.667
2.50000,17.667
2.51042,17.667
2.52083,17.667
2.53125,17.667
2.54167,17.667
2.55208,17.667
2.56250,17.667
2.57292,17.667
2.58333,17.667
2.59375,17.667
2.60417,17.667
2.61458,17.667
2.62500,18.667
2.63542,18.667
2.64583,18.667
2.65625,18.667
2.66667,17.667
2.67708,17.667
2.68750,17.667
2.69792,17.667
2.70833,17.667
2.71875,18.667
2.72917,18.667
2.73958,18.667
2.75000,18.667
2.76042,17.667
2.77083,17.667
2.78125,17.667
2.79167,17.667
2.80208,18.667
2.81250,18.667
2.82292,18.667
2.83333,18.667
2.84375,18.667
2.85417,17.667
2.86458,17.667
2.87500,17.667
2.88542,17.667
2.89583,17.667
2.90625,17.667
2.91667,17.667
2.92708,17.667
2.93750,17.667
2.94792,17.667
2.95833,17.667
2.96875,17.667
2.97917,17.667
2.98958,17.667
3.00000,17.667
3.01042,17.667
3.02083,17.667
3.03125,17.667
3.04167,17.667
3.05208,17.667
3.06250,17.667
3.07292,17.667
3.08333,17.667
3.09375,17.667
3.10417,17.667
3.11458,17.667
3.12500,17.667
3.13542,17.667
3.14583,17.667
3.15625,17.667
3.16667,17.667
3.17708,17.667
3.18750,17.667
3.19792,17.667
3.20833,17.000
3.21875,17.000
3.22917,17.000
3.23958,17.000
3.25000,17.000
3.26042,17.000
3.27083,17.000
3.28125,17.000
3.29167,17.000
3.30208,17.000
3.31250,17.000
3.32292,17.000
3.33333,17.000
3.34375,17.000
3.35417,17.000
3.36458,17.000
3.37500,17.000
3.38542,17.000
3.39583,17.000
3.40625,17.000
3.41667,17.000
3.42708,17.000
3.43750,17.000
3.44792,17.000
3.45833,17.000
3.46875,17.000
3.47917,17.667
3.48958,17.667
3.50000,17.667
3.51042,17.667
3.52083,17.667
3.53125,17.667
3.54167,17.667
3.55208,17.667
3.56250,17.667
3.57292,16.667
3.58333,16.667
3.59375,16.667
3.60417,16.667
3.61458,17.667
3.62500,17.667
3.63542,17.667
3.64583,17.667
3.65625,17.667
3.66667,20.333
3.67708,20.333
3.68750,18.667
3.69792,18.667
3.70833,18.333
3.71875,40.333
3.72917,111.667
3.73958,160.667
3.75000,56.000
3.76042,15.333
3.77083,15.333
3.78125,14.333
3.79167,12.333
3.80208,12.000
3.81250,12.000
3.82292,17.000
3.83333,17.000
3.84375,19.333
3.85417,19.333
3.86458,19.333
3.87500,19.333
3.88542,18.333
3.89583,18.333
3.90625,18.333
3.91667,18.333
3.92708,18.333
3.93750,16.333
3.94792,16.333
3.95833,16.333
3.96875,16.333
3.97917,16.333
3.98958,16.333
4.00000,16.333
4.01042,16.333
4.02083,17.000
4.03125,17.000
4.04167,17.000
4.05208,17.000
4.06250,17.000
4.07292,17.000
4.08333,17.000
4.09375,17.000
4.10417,17.000
4.11458,18.000
4.12500,18.000
4.13542,19.667
4.14583,19.667
4.15625,20.000
4.16667,20.000
4.17708,20.000
4.18750,17.333
4.19792,17.333
4.20833,126.000
4.21875,140.000
4.22917,78.000
4.23958,26.000
4.25000,20.000
4.26042,20.000
4.27083,21.000
4.28125,21.000
4.29167,17.667
4.30208,17.667
4.31250,17.667
4.32292,17.667
4.33333,17.667
4.34375,17.667
4.35417,17.667
4.36458,17.667
4.37500,17.667
4.38542,20.333
4.39583,20.333
4.40625,20.333
4.41667,20.333
4.42708,20.333
4.43750,20.333
4.44792,20.333
4.45833,20.333
4.46875,20.333
4.47917,18.000
4.48958,18.000
4.50000,18.000
4.51042,18.000
4.52083,18.000
4.53125,18.000
4.54167,18.000
4.55208,18.000
4.56250,17.000
4.57292,17.000
4.58333,17.000
4.59375,17.000
4.60417,17.000
4.61458,17.000
4.62500,17.000
4.63542,17.000
4.64583,17.000
4.65625,17.000
4.66667,17.000
4.67708,17.000
4.68750,17.000
4.69792,17.000
4.70833,17.000
4.71875,17.000
4.72917,17.000
4.73958,17.000
4.75000,17.000
4.76042,17.000
4.77083,17.000
4.78125,17.000
4.79167,17.000
4.80208,17.000
4.81250,17.000
4.82292,17.000
4.83333,17.000
4.84375,17.000
4.85417,17.000
4.86458,17.000
4.87500,17.000
4.88542,17.000
4.89583,17.000
4.90625,17.000
4.91667,17.000
4.92708,17.000
4.93750,17.000
4.94792,17.000
4.95833,17.000
4.96875,17.000
4.97917,17.000
4.98958,17.000
5.00000,17.000
5.01042,17.000
5.02083,18.000
5.03125,18.000
5.04167,18.000
5.05208,18.000
5.06250,19.000
5.07292,19.000
5.08333,19.000
5.09375,19.000
5.10417,15.000
5.11458,17.000
5.12500,17.000
5.13542,21.000
5.14583,23.000
5.15625,19.000
5.16667,19.000
5.17708,19.000
5.18750,19.000
5.19792,18.000
5.20833,18.000
5.21875,18.000
5.22917,18.000
5.23958,18.000
5.25000,18.000
5.26042,18.000
5.27083,18.000
5.28125,18.000
5.29167,18.667
5.30208,26.667
5.31250,29.667
5.32292,25.667
5.33333,20.667
5.34375,14.667
5.35417,23.667
5.36458,17.667
5.37500,18.000
5.38542,18.000
5.39583,18.000
5.40625,18.000
5.41667,18.000
5.42708,18.000
5.43750,18.000
5.44792,18.000
5.45833,18.000
5.46875,15.000
5.47917,15.000
5.48958,15.000
5.50000,15.000
5.51042,17.000
5.52083,17.000
5.53125,17.000
5.54167,17.000
5.55208,17.000
5.56250,17.000
5.57292,17.000
5.58333,17.000
5.59375,17.000
5.60417,17.000
5.61458,17.000
5.62500,17.000
5.63542,17.000
5.64583,17.000
5.65625,17.000
5.66667,17.000
5.67708,17.000
5.68750,17.000
5.69792,17.000
5.70833,17.000
5.71875,17.000
5.72917,17.000
5.73958,17.000
5.75000,17.000
5.76042,17.000
5.77083,17.000
5.78125,16.000
5.79167,16.000
5.80208,16.000
5.81250,16.000
5.82292,16.000
5.83333,18.000
5.84375,18.000
5.85417,18.000
5.86458,18.000
5.87500,17.000
5.88542,17.000
5.89583,17.000
5.90625,17.000
5.91667,17.000
5.92708,17.000
5.93750,17.000
5.94792,17.000
5.95833,17.000
5.96875,17.000
5.97917,17.000
5.98958,17.000
6.00000,17.000
6.01042,14.000
6.02083,14.000
6.03125,14.000
6.04167,14.000
6.05208,16.000
6.06250,16.000
6.07292,16.000
6.08333,16.000
6.09375,16.000
6.10417,17.000
6.11458,17.000
6.12500,17.000
6.13542,17.000
6.14583,17.000
6.15625,17.000
6.16667,17.000
6.17708,17.000
6.18750,17.000
6.19792,17.000
6.20833,17.000
6.21875,17.000
6.22917,17.000
6.23958,17.000
6.25000,17.000
6.26042,17.000
6.27083,17.000
6.28125,17.000
6.29167,17.000
6.30208,17.000
6.31250,17.000
6.32292,17.000
6.33333,17.000
6.34375,17.000
6.35417,17.000
6.36458,17.000
6.37500,17.000
6.38542,17.000
6.39583,17.000
6.40625,17.000
6.41667,17.000
6.42708,17.000
6.43750,17.000
6.44792,17.000
6.45833,17.000
6.46875,17.000
6.47917,17.000
6.48958,17.000
6.50000,17.000
6.51042,17.000
6.52083,17.000
6.53125,17.000
6.54167,17.000
6.55208,17.000
6.56250,17.000
6.57292,17.000
6.58333,17.000
6.59375,17.000
6.60417,17.000
6.61458,17.000
6.62500,17.000
6.63542,17.000
6.64583,17.000
6.65625,17.000
6.66667,17.000
6.67708,17.000
6.68750,17.000
6.69792,17.000
6.70833,17.000
6.71875,17.000
6.72917,17.667
6.73958,17.667
6.75000,17.667
6.76042,17.667
6.77083,17.667
6.78125,17.667
6.79167,17.667
6.80208,17.667
6.81250,17.667
6.82292,16.667
6.83333,16.667
6.84375,16.667
6.85417,16.667
6.86458,17.667
6.87500,17.667
6.88542,17.667
6.89583,17.667
6.90625,17.667
6.91667,17.667
6.92708,17.667
6.93750,17.667
6.94792,17.667
6.95833,16.667
6.96875,18.667
6.97917,22.667
6.98958,23.667
7.00000,26.000
7.01042,29.000
7.02083,29.000
7.03125,25.000
7.04167,18.000
7.05208,17.000
7.06250,17.000
7.07292,17.000
7.08333,17.000
7.09375,17.000
7.10417,17.000
7.11458,17.000
7.12500,17.000
7.13542,18.000
7.14583,18.000
7.15625,18.000
7.16667,18.000
7.17708,18.000
7.18750,244.333
7.19792,0.000
